nome,preco,categoria,descricao,disponibilidade,rating,link
Rip it Up and Start Again,35.02,Livros,Rip it Up and Start Again,In stock,5,https://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,Livros,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",In stock,3,https://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html
Olio,23.88,Livros,Olio,In stock,1,https://books.toscrape.com/catalogue/olio_984/index.html
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,Livros,Mesaerion: The Best Science Fiction Stories 1800-1849,In stock,1,https://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html
Libertarianism for Beginners,51.33,Livros,Libertarianism for Beginners,In stock,2,https://books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html
It's Only the Himalayas,45.17,Livros,It's Only the Himalayas,In stock,2,https://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html
In Her Wake,12.84,Livros,In Her Wake,In stock,1,https://books.toscrape.com/catalogue/in-her-wake_980/index.html
How Music Works,37.32,Livros,How Music Works,In stock,2,https://books.toscrape.com/catalogue/how-music-works_979/index.html
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,Livros,"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolpro...",In stock,3,https://books.toscrape.com/catalogue/foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html
Chase Me (Paris Nights #2),25.27,Livros,Chase Me (Paris Nights #2),In stock,5,https://books.toscrape.com/catalogue/chase-me-paris-nights-2_977/index.html
Black Dust,34.53,Livros,Black Dust,In stock,5,https://books.toscrape.com/catalogue/black-dust_976/index.html
Birdsong: A Story in Pictures,54.64,Livros,Birdsong: A Story in Pictures,In stock,3,https://books.toscrape.com/catalogue/birdsong-a-story-in-pictures_975/index.html
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.5,Livros,America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe ...,In stock,3,https://books.toscrape.com/catalogue/americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html
Aladdin and His Wonderful Lamp,53.13,Livros,Aladdin and His Wonderful Lamp,In stock,3,https://books.toscrape.com/catalogue/aladdin-and-his-wonderful-lamp_973/index.html
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,40.3,Livros,Worlds Elsewhere: Journeys Around Shakespeareâs Globe,In stock,5,https://books.toscrape.com/catalogue/worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html
Wall and Piece,44.18,Livros,Wall and Piece,In stock,4,https://books.toscrape.com/catalogue/wall-and-piece_971/index.html
The Four Agreements: A Practical Guide to Personal Freedom,17.66,Livros,The Four Agreements: A Practical Guide to Personal Freedom,In stock,5,https://books.toscrape.com/catalogue/the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,Livros,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,In stock,3,https://books.toscrape.com/catalogue/the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html
The Elephant Tree,23.82,Livros,The Elephant Tree,In stock,5,https://books.toscrape.com/catalogue/the-elephant-tree_968/index.html
The Bear and the Piano,36.89,Livros,The Bear and the Piano,In stock,1,https://books.toscrape.com/catalogue/the-bear-and-the-piano_967/index.html
Sophie's World,15.94,Livros,Sophie's World,In stock,5,https://books.toscrape.com/catalogue/sophies-world_966/index.html
Penny Maybe,33.29,Livros,Penny Maybe,In stock,3,https://books.toscrape.com/catalogue/penny-maybe_965/index.html
Maude (1883-1993):She Grew Up with the country,18.02,Livros,Maude (1883-1993):She Grew Up with the country,In stock,2,https://books.toscrape.com/catalogue/maude-1883-1993she-grew-up-with-the-country_964/index.html
"In a Dark, Dark Wood",19.63,Livros,"In a Dark, Dark Wood",In stock,1,https://books.toscrape.com/catalogue/in-a-dark-dark-wood_963/index.html
Behind Closed Doors,52.22,Livros,Behind Closed Doors,In stock,4,https://books.toscrape.com/catalogue/behind-closed-doors_962/index.html
You can't bury them all: Poems,33.63,Livros,You can't bury them all: Poems,In stock,2,https://books.toscrape.com/catalogue/you-cant-bury-them-all-poems_961/index.html
Slow States of Collapse: Poems,57.31,Livros,Slow States of Collapse: Poems,In stock,3,https://books.toscrape.com/catalogue/slow-states-of-collapse-poems_960/index.html
Reasons to Stay Alive,26.41,Livros,Reasons to Stay Alive,In stock,2,https://books.toscrape.com/catalogue/reasons-to-stay-alive_959/index.html
Private Paris (Private #10),47.61,Livros,Private Paris (Private #10),In stock,5,https://books.toscrape.com/catalogue/private-paris-private-10_958/index.html
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,Livros,#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,In stock,5,https://books.toscrape.com/catalogue/higherselfie-wake-up-your-life-free-your-soul-find-your-tribe_957/index.html
Without Borders (Wanderlove #1),45.07,Livros,Without Borders (Wanderlove #1),In stock,2,https://books.toscrape.com/catalogue/without-borders-wanderlove-1_956/index.html
When We Collided,31.77,Livros,When We Collided,In stock,1,https://books.toscrape.com/catalogue/when-we-collided_955/index.html
"We Love You, Charlie Freeman",50.27,Livros,"We Love You, Charlie Freeman",In stock,5,https://books.toscrape.com/catalogue/we-love-you-charlie-freeman_954/index.html
Untitled Collection: Sabbath Poems 2014,14.27,Livros,Untitled Collection: Sabbath Poems 2014,In stock,4,https://books.toscrape.com/catalogue/untitled-collection-sabbath-poems-2014_953/index.html
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,Livros,"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilde...",In stock,4,https://books.toscrape.com/catalogue/unseen-city-the-majesty-of-pigeons-the-discreet-charm-of-snails-other-wonders-of-the-urban-wilderness_952/index.html
Unicorn Tracks,18.78,Livros,Unicorn Tracks,In stock,3,https://books.toscrape.com/catalogue/unicorn-tracks_951/index.html
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52,Livros,"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Bri...",In stock,1,https://books.toscrape.com/catalogue/unbound-how-eight-technologies-made-us-human-transformed-society-and-brought-our-world-to-the-brink_950/index.html
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,Livros,Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),In stock,1,https://books.toscrape.com/catalogue/tsubasa-world-chronicle-2-tsubasa-world-chronicle-2_949/index.html
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,Livros,Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,In stock,3,https://books.toscrape.com/catalogue/throwing-rocks-at-the-google-bus-how-growth-became-the-enemy-of-prosperity_948/index.html
This One Summer,19.49,Livros,This One Summer,In stock,4,https://books.toscrape.com/catalogue/this-one-summer_947/index.html
Thirst,17.27,Livros,Thirst,In stock,5,https://books.toscrape.com/catalogue/thirst_946/index.html
The Torch Is Passed: A Harding Family Story,19.09,Livros,The Torch Is Passed: A Harding Family Story,In stock,1,https://books.toscrape.com/catalogue/the-torch-is-passed-a-harding-family-story_945/index.html
The Secret of Dreadwillow Carse,56.13,Livros,The Secret of Dreadwillow Carse,In stock,1,https://books.toscrape.com/catalogue/the-secret-of-dreadwillow-carse_944/index.html
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",56.41,Livros,"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Deli...",In stock,1,https://books.toscrape.com/catalogue/the-pioneer-woman-cooks-dinnertime-comfort-classics-freezer-food-16-minute-meals-and-other-delicious-ways-to-solve-supper_943/index.html
The Past Never Ends,56.5,Livros,The Past Never Ends,In stock,4,https://books.toscrape.com/catalogue/the-past-never-ends_942/index.html
The Natural History of Us (The Fine Art of Pretending #2),45.22,Livros,The Natural History of Us (The Fine Art of Pretending #2),In stock,3,https://books.toscrape.com/catalogue/the-natural-history-of-us-the-fine-art-of-pretending-2_941/index.html
